Account Number,Account Name,City,Date Received,Date Reported,WO Number,Lab Number,Farmer ID,Field ID,Sample ID,Previous Crop,Acres,pH,BpH,NO3 Depth1,NO3 Depth2,NO3 Depth3,Total N lbs/A,OM,P_Bray,P_Olsen,Salinity,K,Ca,Mg,Na,S,Zn,Cu,Mn,Fe,B,CEC,Ca_Sat,Mg_Sat,K_Sat,Na_Sat,H+_Sat,Texture,Sand,Silt,Clay,CEC-NH4,CCE,Meh_P,Meh_K,Meh_Ca,Meh_Mg,Meh_Na,Index,Bray_K
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188545","Rondo + Frogtown ","neighborhoods of St. Paul","1","","",7.3,7.3,128  lbs/A  0-6,    ,    ,128,21,236,170,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188546","Rondo + Frogtown ","neighborhoods of St. Paul","2","","",7.3,7.3,65  lbs/A  0-6,    ,    ,65,22,250,186,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188547","Rondo + Frogtown ","neighborhoods of St. Paul","3","","",6.7,7,305  lbs/A  0-6,    ,    ,305,25.7,388,213,,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188548","Rondo + Frogtown ","neighborhoods of St. Paul","4","","",7.8,7.5,277  lbs/A  0-6,    ,    ,277,26.5,282,184,,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188549","Rondo + Frogtown ","neighborhoods of St. Paul","5","","",7.8,7.4,105  lbs/A  0-6,    ,    ,105,21.9,212,162,,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188550","Rondo + Frogtown ","neighborhoods of St. Paul","6","","",7.3,7.3,93  lbs/A  0-6,    ,    ,93,23.7,226,164,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188551","Rondo + Frogtown ","neighborhoods of St. Paul","7","","",7.3,7.3,108  lbs/A  0-6,    ,    ,108,18.5,183,144,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188552","Rondo + Frogtown ","neighborhoods of St. Paul","8","","",7.5,7.5,357  lbs/A  0-6,    ,    ,357,29.2,259,208,,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188553","Rondo + Frogtown ","neighborhoods of St. Paul","9","","",9.6,8.2,379  lbs/A  0-6,    ,    ,379,39.8,388,198,,7174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188554","Rondo + Frogtown ","neighborhoods of St. Paul","10","","",8.2,7.6,260  lbs/A  0-6,    ,    ,260,28.9,274,274,,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188555","Rondo + Frogtown ","neighborhoods of St. Paul","11","","",7.4,7.3,55  lbs/A  0-6,    ,    ,55,12.6,184,110,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188556","Rondo + Frogtown ","neighborhoods of St. Paul","12","","",7.3,7.3,49  lbs/A  0-6,    ,    ,49,11.9,173,102,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188557","Rondo + Frogtown ","neighborhoods of St. Paul","13","","",7.4,7.4,72  lbs/A  0-6,    ,    ,72,11,162,96,,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188558","Rondo + Frogtown ","neighborhoods of St. Paul","14","","",7.4,7.4,58  lbs/A  0-6,    ,    ,58,9.4,168,101,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188559","Rondo + Frogtown ","neighborhoods of St. Paul","15","","",7.1,7.2,21  lbs/A  0-6,    ,    ,21,10.4,180,88,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188560","Rondo + Frogtown ","neighborhoods of St. Paul","16","","",7.3,7.3,22  lbs/A  0-6,    ,    ,22,10.3,157,87,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188561","Rondo + Frogtown ","neighborhoods of St. Paul","17","","",7.4,7.3,50  lbs/A  0-6,    ,    ,50,13.3,153,111,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188562","Rondo + Frogtown ","neighborhoods of St. Paul","18","","",7.3,7.3,9  lbs/A  0-6,    ,    ,9,7.9,177,98,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188563","Rondo + Frogtown ","neighborhoods of St. Paul","19","","",7.4,7.4,98  lbs/A  0-6,    ,    ,98,11.2,144,88,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188564","Rondo + Frogtown ","neighborhoods of St. Paul","20","","",7.7,7.4,66  lbs/A  0-6,    ,    ,66,10,155,94,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188565","Rondo + Frogtown ","neighborhoods of St. Paul","21","","",7.6,7.4,92  lbs/A  0-6,    ,    ,92,8.5,154,96,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188566","Rondo + Frogtown ","neighborhoods of St. Paul","22","","",7.9,7.6,47  lbs/A  0-6,    ,    ,47,11.1,170,110,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188567","Rondo + Frogtown ","neighborhoods of St. Paul","23","","",7.4,7.4,64  lbs/A  0-6,    ,    ,64,21.3,194,115,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188568","Rondo + Frogtown ","neighborhoods of St. Paul","24","","",7.4,7.3,32  lbs/A  0-6,    ,    ,32,13.4,195,107,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188569","Rondo + Frogtown ","neighborhoods of St. Paul","25","","",7.4,7.4,90  lbs/A  0-6,    ,    ,90,9.3,113,60,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188570","Rondo + Frogtown ","neighborhoods of St. Paul","26","","",7.8,7.6,1  lbs/A  0-6,    ,    ,1,5.1,34,36,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"043745","U OF MN - SOIL WATER CLIMATE","ST PAUL",07/12/2023,07/14/2023,"202311-01719","23-A188571","Rondo + Frogtown ","neighborhoods of St. Paul","27","","",6.4,7.1,112  lbs/A  0-6,    ,    ,112,5.3,45,21,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
