"","treatment","year","study_yr","month","count","mon_avg_min","mon_avg_max","mon_avg"
"1","BM",2023,1,5,35,17.8465714285714,22.3051428571429,20.0758571428571
"2","BM",2023,1,6,142,19.9931690140845,23.9804929577465,21.9868309859155
"3","BM",2023,1,7,91,20.2651648351648,25.1997802197802,22.7324725274725
"4","BM",2023,1,8,31,19.7790322580645,25.2848387096774,22.531935483871
"5","BM",2023,1,9,30,17.4273333333333,22.1233333333333,19.7753333333333
"6","BM",2023,1,10,31,9.89612903225806,13.0312903225806,11.4637096774194
"7","BM",2023,1,11,30,2.331,4.758,3.5445
"8","BM",2023,1,12,31,0.0651612903225806,0.955161290322581,0.510161290322581
"9","BM",2024,1,1,31,-0.682258064516129,-0.36,-0.521129032258065
"10","BM",2024,1,2,29,0.283103448275862,1.19241379310345,0.737758620689655
"11","BM",2024,1,3,31,1.29612903225806,4.96290322580645,3.12951612903226
"12","BM",2024,1,4,30,5.39,12.1723333333333,8.78116666666667
"13","BM",2024,2,5,31,12.5616129032258,20.6806451612903,16.6211290322581
"14","BM",2024,2,6,33,17.0966666666667,23.8106060606061,20.4536363636364
"15","BM",2024,2,7,43,20.1376744186047,23.1516279069767,21.6446511627907
"16","BM",2024,2,8,31,19.81,21.1829032258065,20.4964516129032
"17","BM",2024,2,9,30,18.7946666666667,20.7056666666667,19.7501666666667
"18","BM",2024,2,10,31,13.398064516129,15.6832258064516,14.5406451612903
"19","BM",2024,2,11,30,5.71033333333333,6.979,6.34466666666667
"20","BM",2024,2,12,29,-1.01241379310345,-0.541379310344828,-0.776896551724138
"21","BM",2025,2,1,31,-3.83806451612903,-2.67129032258065,-3.25467741935484
"22","BM",2025,2,2,28,-2.88821428571429,-2.18285714285714,-2.53553571428571
"23","BM",2025,2,3,31,0.567096774193548,2.07161290322581,1.31935483870968
"24","BM",2025,2,4,22,4.24363636363636,6.79,5.51681818181818
"25","BM",2025,2,12,2,-0.15,-0.05,-0.1
"26","CM",2023,1,5,35,18.1714285714286,22.8471428571429,20.5092857142857
"27","CM",2023,1,6,150,20.435,23.9682,22.2016
"28","CM",2023,1,7,111,20.2252252252252,22.4498198198198,21.3375225225225
"29","CM",2023,1,8,31,20.4041935483871,23.4216129032258,21.9129032258065
"30","CM",2023,1,9,30,17.6656666666667,20.2733333333333,18.9695
"31","CM",2023,1,10,31,10.781935483871,12.9622580645161,11.8720967741935
"32","CM",2023,1,11,30,3.39133333333333,4.69566666666667,4.0435
"33","CM",2023,1,12,31,0.390967741935484,0.897096774193548,0.644032258064516
"34","CM",2024,1,1,31,-1.07516129032258,-0.649354838709677,-0.862258064516129
"35","CM",2024,1,2,29,-0.290689655172414,-0.165172413793103,-0.227931034482759
"36","CM",2024,1,3,31,1.09870967741935,2.45645161290323,1.77758064516129
"37","CM",2024,1,4,30,5.44833333333333,8.29466666666667,6.8715
"38","CM",2024,2,5,31,12.2541935483871,17.1461290322581,14.7001612903226
"39","CM",2024,2,6,33,17.2339393939394,20.0318181818182,18.6328787878788
"40","CM",2024,2,7,62,20.0829032258065,21.4961290322581,20.7895161290323
"41","CM",2024,2,8,62,19.8722580645161,21.2693548387097,20.5708064516129
"42","CM",2024,2,9,60,18.2643333333333,20.2595,19.2619166666667
"43","CM",2024,2,10,47,12.8653191489362,14.5368085106383,13.7010638297872
"44","CM",2024,2,11,30,6.63933333333333,7.428,7.03366666666667
"45","CM",2024,2,12,29,-0.00517241379310345,0.207241379310345,0.101034482758621
"46","CM",2025,2,1,31,-2.39129032258065,-1.68612903225806,-2.03870967741935
"47","CM",2025,2,2,28,-2.24785714285714,-1.7275,-1.98767857142857
"48","CM",2025,2,3,31,-0.0245161290322581,0.24741935483871,0.111451612903226
"49","CM",2025,2,4,22,2.72863636363636,3.87454545454545,3.30159090909091
"50","CM",2025,2,12,2,0.02,0.13,0.075
"51","SM",2023,1,5,35,18.0085714285714,22.5997142857143,20.3041428571429
"52","SM",2023,1,6,150,20.1605333333333,23.6802,21.9203666666667
"53","SM",2023,1,7,105,20.0913333333333,22.3421904761905,21.2167619047619
"54","SM",2023,1,8,62,20.6206451612903,23.0343548387097,21.8275
"55","SM",2023,1,9,60,17.9906666666667,20.105,19.0478333333333
"56","SM",2023,1,10,62,11.0461290322581,12.943064516129,11.9945967741935
"57","SM",2023,1,11,60,3.51716666666667,4.79533333333333,4.15625
"58","SM",2023,1,12,62,0.593709677419355,1.08983870967742,0.841774193548387
"59","SM",2024,1,1,62,-0.699354838709677,-0.384838709677419,-0.542096774193548
"60","SM",2024,1,2,58,-0.214827586206897,-0.0787931034482759,-0.146810344827586
"61","SM",2024,1,3,62,1.37903225806452,2.83516129032258,2.10709677419355
"62","SM",2024,1,4,60,5.68516666666667,8.48933333333333,7.08725
"63","SM",2024,2,5,44,Inf,-Inf,NA
"64","SM",2024,2,6,36,Inf,-Inf,NA
"65","SM",2024,2,7,93,19.82,22.1817204301075,21.0008602150538
"66","SM",2024,2,8,93,19.3729032258064,21.5741935483871,20.4735483870968
"67","SM",2024,2,9,90,17.6485555555556,20.5443333333333,19.0964444444444
"68","SM",2024,2,10,62,12.601935483871,14.6406451612903,13.6212903225806
"69","SM",2024,2,11,60,5.713,6.8725,6.29275
"70","SM",2024,2,12,58,-0.757068965517241,-0.347241379310345,-0.552155172413793
"71","SM",2025,2,1,62,-3.54177419354839,-2.45870967741935,-3.00024193548387
"72","SM",2025,2,2,56,-2.62875,-1.99785714285714,-2.31330357142857
"73","SM",2025,2,3,62,0.15,1.14129032258065,0.645645161290323
"74","SM",2025,2,4,44,3.00022727272727,5.25159090909091,4.12590909090909
"75","SM",2025,2,12,4,-0.06,0.07,0.005
